DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
84,Transmission,,,,,,1,A1,1,2,5,9,12/8/22,1:24:30 PM,20221208_132430289_Printed_T1_F2_R9_C5_Trans__Run.png
84,245,140.58,27.06,1.67,1.07,149.22,,,,,,,,,
703,Transmission,,,,,,1,A1,1,2,23,9,12/8/22,1:25:10 PM,20221208_132510705_Printed_T1_F2_R9_C23_Trans__Run.png
703,239.04,167.12,30.53,1.59,1.05,140.08,,,,,,,,,
1330,Transmission,,,,,,1,A1,1,2,41,9,12/8/22,1:26:02 PM,20221208_132602279_Printed_T1_F2_R9_C41_Trans__Run.png
1330,316.97,147.06,29.26,1.68,1.07,141.33,,,,,,,,,
1443,Transmission,,,,,,1,A1,1,2,59,9,12/8/22,1:26:10 PM,20221208_132610689_Printed_T1_F2_R9_C59_Trans__Run.png
1443,318.72,137.33,28.06,1.88,1.1,149.97,,,,,,,,,
1940,Transmission,,,,,,1,A1,1,2,5,27,12/8/22,1:26:43 PM,20221208_132643447_Printed_T1_F2_R27_C5_Trans__Run.png
1940,205.17,138.27,25.37,1.68,1.07,148.32,,,,,,,,,
2134,Transmission,,,,,,1,A1,1,2,23,27,12/8/22,1:26:56 PM,20221208_132656994_Printed_T1_F2_R27_C23_Trans__Run.png
2134,215.88,149.13,34.04,1.52,1.04,147.69,,,,,,,,,
2278,Transmission,,,,,,1,A1,1,2,41,27,12/8/22,1:27:07 PM,20221208_132707372_Printed_T1_F2_R27_C41_Trans__Run.png
2278,303.21,157.1,32.7,1.47,1.04,146.74,,,,,,,,,
2522,Transmission,,,,,,1,A1,1,2,59,27,12/8/22,1:27:23 PM,20221208_132723998_Printed_T1_F2_R27_C59_Trans__Run.png
2522,239.71,141.63,31.94,1.55,1.05,149.73,,,,,,,,,
2574,Transmission,,,,,,1,A1,1,2,5,33,12/8/22,1:27:28 PM,20221208_132728596_Printed_T1_F2_R33_C5_Trans__Run.png
2574,329.49,145.77,30.83,1.59,1.05,142.34,,,,,,,,,
2683,Transmission,,,,,,1,A1,1,2,23,33,12/8/22,1:27:36 PM,20221208_132736677_Printed_T1_F2_R33_C23_Trans__Run.png
2683,207.79,148.91,28.62,1.74,1.08,148.64,,,,,,,,,
3908,Transmission,,,,,,1,A1,1,2,41,33,12/8/22,1:29:04 PM,20221208_132904677_Printed_T1_F2_R33_C41_Trans__Run.png
3908,272.58,133.43,30.12,1.57,1.05,142.85,,,,,,,,,
