DropNo,X,Y,Diameter,Elongation,Circularity,Intensity,Plate,Well,Target,Field,XPos,YPos,Date        ,Time    ,ImageFile
14,Transmission,,,,,,1,A1,1,2,1,21,12/8/22,12:21:48 PM,20221208_122148028_Printed_T1_F2_R21_C1_Trans__Run.png
14,265.25,132.75,29.79,1.45,1.03,136.37,,,,,,,,,
36,Transmission,,,,,,1,A1,1,2,19,21,12/8/22,12:21:50 PM,20221208_122150617_Printed_T1_F2_R21_C19_Trans__Run.png
36,342.86,168.32,26.98,1.67,1.07,147.53,,,,,,,,,
56,Transmission,,,,,,1,A1,1,2,37,21,12/8/22,12:21:53 PM,20221208_122153090_Printed_T1_F2_R21_C37_Trans__Run.png
56,247.61,163.48,23.2,1.7,1.07,154.95,,,,,,,,,
63,Transmission,,,,,,1,A1,1,2,55,21,12/8/22,12:21:54 PM,20221208_122154780_Printed_T1_F2_R21_C55_Trans__Run.png
63,346.49,169.11,28.67,1.66,1.06,149.68,,,,,,,,,
71,Transmission,,,,,,1,A1,1,2,1,27,12/8/22,12:21:56 PM,20221208_122156583_Printed_T1_F2_R27_C1_Trans__Run.png
71,325.44,168.1,26,1.8,1.09,146.04,,,,,,,,,
85,Transmission,,,,,,1,A1,1,2,19,27,12/8/22,12:21:58 PM,20221208_122158664_Printed_T1_F2_R27_C19_Trans__Run.png
85,185.11,161.33,28.04,1.59,1.05,148.19,,,,,,,,,
100,Transmission,,,,,,1,A1,1,2,37,27,12/8/22,12:22:00 PM,20221208_122200823_Printed_T1_F2_R27_C37_Trans__Run.png
100,272.23,165.83,30.64,1.62,1.06,152.07,,,,,,,,,
222,Transmission,,,,,,1,A1,1,2,55,27,12/8/22,12:22:09 PM,20221208_122209833_Printed_T1_F2_R27_C55_Trans__Run.png
222,284.5,168.02,29.12,1.59,1.05,138.36,,,,,,,,,
235,Transmission,,,,,,1,A1,1,2,1,45,12/8/22,12:22:11 PM,20221208_122211975_Printed_T1_F2_R45_C1_Trans__Run.png
235,227.61,162.96,24.87,1.7,1.07,150.03,,,,,,,,,
322,Transmission,,,,,,1,A1,1,2,19,45,12/8/22,12:22:18 PM,20221208_122218693_Printed_T1_F2_R45_C19_Trans__Run.png
322,249.05,137.13,31.28,1.51,1.04,142.9,,,,,,,,,
388,Transmission,,,,,,1,A1,1,2,37,45,12/8/22,12:22:24 PM,20221208_122224146_Printed_T1_F2_R45_C37_Trans__Run.png
388,220.03,162.56,28.28,1.6,1.05,148.95,,,,,,,,,
703,Transmission,,,,,,1,A1,1,2,55,45,12/8/22,12:22:50 PM,20221208_122250788_Printed_T1_F2_R45_C55_Trans__Run.png
703,305.67,143.4,27.02,1.72,1.07,146.5,,,,,,,,,
756,Transmission,,,,,,1,A1,1,2,1,51,12/8/22,12:22:55 PM,20221208_122255457_Printed_T1_F2_R51_C1_Trans__Run.png
756,286.04,152.25,28.96,1.6,1.05,141.52,,,,,,,,,
806,Transmission,,,,,,1,A1,1,2,19,51,12/8/22,12:22:59 PM,20221208_122259790_Printed_T1_F2_R51_C19_Trans__Run.png
806,230.98,160.26,25.69,1.54,1.05,129.11,,,,,,,,,
891,Transmission,,,,,,1,A1,1,2,37,51,12/8/22,12:23:06 PM,20221208_122306395_Printed_T1_F2_R51_C37_Trans__Run.png
891,299.42,135.66,33,1.83,1.09,144.55,,,,,,,,,
922,Transmission,,,,,,1,A1,1,2,55,51,12/8/22,12:23:09 PM,20221208_122309595_Printed_T1_F2_R51_C55_Trans__Run.png
922,291.82,138.91,28.59,1.75,1.08,137.95,,,,,,,,,
929,Transmission,,,,,,1,A1,1,2,1,63,12/8/22,12:23:11 PM,20221208_122311331_Printed_T1_F2_R63_C1_Trans__Run.png
929,221.88,136.28,25.95,1.74,1.08,153.86,,,,,,,,,
1002,Transmission,,,,,,1,A1,1,2,19,63,12/8/22,12:23:17 PM,20221208_122317117_Printed_T1_F2_R63_C19_Trans__Run.png
1002,232.45,134.02,27.25,1.57,1.05,135.05,,,,,,,,,
